gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
PIT201104070,COL,PIT,PIT08,20110407,0,1:36PM,day,,,false,,151,39219,unknown,unknown,cloudy,61,rtol,5,hertb701,,,carlm901,timmt901,kellj901,coope901,,,rogee002,mahop002,,regular,7,1,COL,PIT,y,both,y,y,y,2011
TOR201104070,OAK,TOR,TOR02,20110407,0,12:38PM,day,,,true,,152,19528,dry,none,dome,68,unknown,0,hobbd701,,,culbf901,johna901,cedeg901,barkl901,,,cahit001,frasj002,fuenb001,regular,2,1,OAK,TOR,y,both,y,y,y,2011
ANA201104080,TOR,ANA,ANA01,20110408,0,7:07PM,night,,,true,,155,43853,unknown,unknown,unknown,54,tocf,9,munse701,,,davib902,wendh902,knigb901,laynj901,,,doteo001,sante001,raucj001,regular,3,2,TOR,ANA,y,both,y,y,y,2011
ARI201104080,CIN,ARI,PHO01,20110408,0,6:40PM,night,,,false,,165,48027,unknown,unknown,unknown,58,rtol,9,johnr701,,,barrt901,rungb901,hudsm901,mcclt901,,,kenni001,woodt004,,regular,2,13,ARI,CIN,y,both,y,y,y,2011
ATL201104080,PHI,ATL,ATL02,20110408,0,7:38PM,night,,,false,,166,51331,unknown,unknown,unknown,76,rtol,7,wilkj701,,,johna901,cedeg901,barkl901,culbf901,,,hudst001,lee-c003,kimbc001,regular,3,6,ATL,PHI,y,both,y,y,y,2011
BOS201104080,NYA,BOS,BOS07,20110408,0,2:06PM,day,,,true,,186,37178,unknown,unknown,cloudy,47,rtol,8,shalm701,,,wegnm901,guccc901,wintm901,everm901,,,lackj001,colob001,papej001,regular,6,9,BOS,NYA,y,both,y,y,y,2011
CHA201104080,TBA,CHA,CHI12,20110408,0,7:10PM,night,,,true,,193,20199,unknown,unknown,unknown,44,ltor,11,roseb701,,,demud901,danlk901,nauep901,eddid901,,,russa001,thorm001,farnk001,regular,9,7,TBA,CHA,y,both,y,y,y,2011
DET201104080,KCA,DET,DET05,20110408,0,3:07PM,day,,,true,,180,44799,unknown,unknown,unknown,43,ltor,9,marod701,,,dimum901,fleta901,welkt901,reynj901,,,schem001,davik002,valvj001,regular,2,5,DET,KCA,y,both,y,y,y,2011
HOU201104080,FLO,HOU,HOU03,20110408,0,6:09PM,night,,,false,,161,41042,unknown,unknown,unknown,81,tocf,13,mclei701,,,wolfj901,cousd901,joycj901,kulpr901,,,nolar001,lopew001,nunel001,regular,4,3,FLO,HOU,y,both,y,y,y,2011
MIL201104080,CHN,MIL,MIL06,20110408,0,7:10PM,night,,,false,,176,34310,dry,none,dome,65,unknown,0,odrit701,,,buckc901,iassd901,scotd901,mealj901,,,zambc001,wolfr001,marmc001,regular,7,4,CHN,MIL,y,both,y,y,y,2011
